10,1,
25,2,
40,3,
59,4,
82,5,
101,6,
141,7,
198,8,
199,9,
231,10,
274,11,
309,12,
352,13,
441,14,
458,15,
517,16,
561,17,
676,18,
693,19,
782,20,
815,21,
892,22,
937,23,
1001,24,
1050,25,
1167,26,
1297,27,
1340,28,
1404,29,
1445,30,
1549,31,
1606,32,
1734,33,
1852,34,
1950,35,
1892,36,
2129,37,
2219,38,
2229,39,
2366,40,
2466,41,
2588,42,
2646,43,
2885,44,
2993,45,
3003,46,
3082,47,
3205,48,
3281,49,
3335,50,
3759,51,
3792,52,
3900,53,
4171,54,
4181,55,
4304,56,
4508,57,
4650,58,
4882,59,
4770,60,
4812,61,
5039,62,
5195,63,
5148,64,
5309,65,
5618,66,
5850,67,
6113,68,
5877,69,
5972,70,
5970,71,
6230,72,
6395,73,
6269,74,
6502,75,
6707,76,
6985,77,
6883,78,
7145,79,
7649,80,
7314,81,
7855,82,
8053,83,
8162,84,
8168,85,
8592,86,
9213,87,
8963,88,
9534,89,
9950,90,
10171,91,
9709,92,
9938,93,
10482,94,
10908,95,
10968,96,
11011,97,
11358,98,
11622,99,
11665,100,
